"","subject","ordinal.item.number","type","question","answer","rt","sentence","item.id","Test","N1","Category"
"65","1478885728",63,"ItemConfigurationAdjectives52","NULL",4,5918,"A child held a bucket full with sponges on the beach. ",52,"Configuration Adjectives","pail","Arbitrary Containments"
"66","1478885728",72,"ItemBreakableness61","NULL",1,1872,"A pile of shirts broke.",61,"Breakableness","pile","Collections"
"67","1478885728",45,"ItemPronominalagreementplural34","NULL",2,3461,"We found a lot of bags and we stored them.",34,"Pronominal agreement plural","number","Measure Phrases"
"68","1478885728",79,"ItemOverflowing68","NULL",3,2657,"We added so many sponges that the bucket of sponges overflowed.",68,"Overflowing","pail","Full Containment"
"69","1478885728",97,"ItemAbstractNoun86","NULL",7,1509,"She expressed a lot of thoughts.",86,"Abstract Noun","number","Measure Phrase"
"70","1478885728",100,"Filler99","NULL",4,1721,"She refused of the cake.",99,"Filler","Filler",NA
"71","1478885728",22,"ItemPronominalagreementsingular11","NULL",1,2063,"We found a stack of sandwiches and we packed it.",11,"Pronominal agreement singular","stack","Collections"
"72","1478885728",118,"Filler117","NULL",1,1661,"A basket of ornaments the tree.",117,"Filler","Filler",NA
"73","1478885728",16,"ItemPronominalagreementsingular5","NULL",3,2164,"We found a dish of strawberries and we took it.",5,"Pronominal agreement singular","dish","Full Containment"
"74","1478885728",125,"Filler124","NULL",1,2164,"They planned to take the trash from.",124,"Filler","Filler",NA
"75","1478885728",56,"ItemConfigurationParticiples45","NULL",3,3814,"She offered a dish sprinkled of strawberries to her friend. ",45,"Configuration Participles","dish","Full Containment"
"76","1478885728",13,"ItemPronominalagreementsingular2","NULL",4,3200,"We found a pot with flowers and we admired it.",2,"Pronominal agreement singular","pot","Arbitary Containment"
"77","1478885728",114,"Filler113","NULL",2,2296,"She voted the candidate.",113,"Filler","Filler",NA
"78","1478885728",28,"ItemPronominalagreementsingular17","NULL",1,2365,"We found several pies and we brought it.",17,"Pronominal agreement singular","none","Quantifiers"
"79","1478885728",108,"Filler107","NULL",1,1921,"We drove past a tractor nearly the farm.",107,"Filler","Filler",NA
"80","1478885728",88,"ItemShapeModifier77","NULL",2,2264,"She moved a tall bunch of shirts into the garage.",77,"Shape Modifier","lot","Measure Phrase"
"81","1478885728",66,"ItemConfigurationAdjectives55","NULL",5,4086,"We walked by a case full of silk handkerchiefs.",55,"Configuration Adjectives","case","Full Containment"
"82","1478885728",73,"ItemBreakableness62","NULL",1,1911,"A heap of blankets broke.",62,"Breakableness","heap","Collections"
"83","1478885728",19,"ItemPronominalagreementsingular8","NULL",2,2182,"We found a bucket of sponges and we grabbed it.",8,"Pronominal agreement singular","pail","Full Containment"
"84","1478885728",76,"ItemOverflowing65","NULL",3,3864,"We added so many strawberries that the dish of strawberries overflowed.",65,"Overflowing","dish","Full Containment"
"85","1478885728",98,"ItemAbstractNoun87","NULL",7,2324,"She offered a handful of ideas.",87,"Abstract Noun","couple","Measure Phrase"
"86","1478885728",23,"ItemPronominalagreementsingular12","NULL",4,2113,"We found a group of llamas and we photographed it.",12,"Pronominal agreement singular","group","Collections"
"87","1478885728",116,"Filler115","NULL",2,2749,"We built so many houses that the neighborhood.",115,"Filler","Filler",NA
"88","1478885728",31,"ItemPronominalagreementsingular20","NULL",2,2334,"We found some paintings and we purchased it.",20,"Pronominal agreement singular","none","Quantifiers"
"89","1478885728",103,"Filler102","NULL",1,2155,"They gave beside to us.",102,"Filler","Filler",NA
"90","1478885728",59,"ItemConfigurationParticiples48","NULL",3,4337,"A child held a bucket filled of sponges on the beach. ",48,"Configuration Participles","pail","Full Containment"
"91","1478885728",26,"ItemPronominalagreementsingular15","NULL",2,2427,"We found a handful of notepads and we moved it.",15,"Pronominal agreement singular","couple","Measure Phrases"
"92","1478885728",120,"Filler119","NULL",1,2273,"A dash of salt the soup.",119,"Filler","Filler",NA
"93","1478885728",34,"ItemPronominalagreementplural23","NULL",5,4458,"We found a case with silk handkerchiefs and we cleaned them.",23,"Pronominal agreement plural","case","Arbitary Containment"
"94","1478885728",132,"Filler131","NULL",2,2414,"In the spring%2C she emerged brightly colored rain boots.",131,"Filler","Filler",NA
"95","1478885728",89,"ItemShapeModifier78","NULL",1,2022,"She made a circular lot of blankets on the floor.",78,"Shape Modifier","number","Measure Phrases"
"96","1478885728",67,"ItemConfigurationAdjectives56","NULL",7,2465,"A child held a bucket full of sponges on the beach.",56,"Configuration Adjectives","pail","Full Containment"
"97","1478885728",71,"ItemBreakableness60","NULL",2,2497,"A bucket of sponges broke.",60,"Breakableness","pail","Full Containment"
"98","1478885728",12,"ItemPronominalagreementsingular1","NULL",4,2597,"We found a dish with strawberries and we took it.",1,"Pronominal agreement singular","dish","Arbitary Containment"
"99","1478885728",81,"ItemOverflowing70","NULL",5,2847,"We added so many blankets that the heap of blankets overflowed.",70,"Overflowing","heap","Collections"
"100","1478885728",96,"ItemAbstractNoun85","NULL",7,2758,"She defined a bunch of concepts.",85,"Abstract Noun","lot","Measure Phrase"
"101","1478885728",127,"Filler126","NULL",2,2173,"While cooking dinner%2C we cried the onion.",126,"Filler","Filler",NA
"102","1478885728",37,"ItemPronominalagreementplural26","NULL",7,3239,"We found a pot of flowers and we photographed them.",26,"Pronominal agreement plural","pot","Full Containment"
"103","1478885728",106,"Filler105","NULL",1,2395,"We sent a package to.",105,"Filler","Filler",NA
"104","1478885728",30,"ItemPronominalagreementsingular19","NULL",1,3088,"We found more chips and we brought it.",19,"Pronominal agreement singular","none","Quantifiers"
"105","1478885728",110,"Filler109","NULL",3,1912,"She made a loudly statement.",109,"Filler","Filler",NA
"106","1478885728",60,"ItemConfigurationAdjectives49","NULL",2,4177,"She offered a dish full with strawberries to her friend. ",49,"Configuration Adjectives","dish","Arbitrary Containments"
"107","1478885728",32,"ItemPronominalagreementplural21","NULL",4,2496,"We found a dish with strawberries and we took them.",21,"Pronominal agreement plural","dish","Arbitary Containment"
"108","1478885728",46,"ItemPronominalagreementplural35","NULL",4,1911,"We found a handful of notepads and we took them.",35,"Pronominal agreement plural","couple","Measure Phrases"
"109","1478885728",101,"Filler100","NULL",2,2032,"They watched of the fireworks.",100,"Filler","Filler",NA
"110","1478885728",84,"ItemShapeModifier73","NULL",7,2606,"She moved a tall pile of shirts into the garage.",73,"Shape Modifier","pile","Collection"
"111","1478885728",58,"ItemConfigurationParticiples47","NULL",2,2969,"We walked by a case decorated of silk handkerchiefs. ",47,"Configuration Participles","case","Full Containment"
"112","1478885728",69,"ItemBreakableness58","NULL",7,2103,"A pot of flowers broke.",58,"Breakableness","pot","Full Containment"
"113","1478885728",21,"ItemPronominalagreementsingular10","NULL",1,2536,"We found a heap of blankets and we washed it.",10,"Pronominal agreement singular","pile","Collections"
"114","1478885728",77,"ItemOverflowing66","NULL",3,3270,"We added so many flowers that the pot of flowers overflowed.",66,"Overflowing","pot","Full Containment"
"115","1478885728",92,"ItemAbstractNoun81","NULL",6,3208,"She defined a pile of concepts.",81,"Abstract Noun","pile","Collection"
"116","1478885728",121,"Filler120","NULL",1,2213,"A rack of newspapers the bookstore.",120,"Filler","Filler",NA
"117","1478885728",14,"ItemPronominalagreementsingular3","NULL",1,2766,"We found a case with silk handkerchiefs and we cleaned it.",3,"Pronominal agreement singular","case","Arbitary Containment"
"118","1478885728",133,"Filler132","NULL",4,2978,"He looked like a fool when he responded the question.",132,"Filler","Filler",NA
"119","1478885728",38,"ItemPronominalagreementplural27","NULL",7,2314,"We found a case of silk handkerchiefs and we cleaned them.",27,"Pronominal agreement plural","case","Full Containment"
"120","1478885728",115,"Filler114","NULL",1,2074,"They stumbled a gold mine.",114,"Filler","Filler",NA
"121","1478885728",65,"ItemConfigurationAdjectives54","NULL",7,2586,"I noticed a pot full of flowers in the store. ",54,"Configuration Adjectives","pot","Full Containment"
"122","1478885728",18,"ItemPronominalagreementsingular7","NULL",1,3140,"We found a case of silk handkerchiefs and we cleaned it.",7,"Pronominal agreement singular","case","Full Containment"
"123","1478885728",119,"Filler118","NULL",1,1970,"A spoonful of tapioca the medicine.",118,"Filler","Filler",NA
"124","1478885728",47,"ItemPronominalagreementplural36","NULL",6,1982,"We found a ton of cookbooks and we read them.",36,"Pronominal agreement plural","handful","Measure Phrases"
"125","1478885728",129,"Filler128","NULL",1,2713,"During the party%2C the magician disappeared a rubber ball.",128,"Filler","Filler",NA
"126","1478885728",87,"ItemShapeModifier76","NULL",4,2273,"She found a wide group of llamas in the valley.",76,"Shape Modifier","group","Collections"
"127","1478885728",62,"ItemConfigurationAdjectives51","NULL",7,3280,"We walked by a case full with silk handkerchiefs.",51,"Configuration Adjectives","case","Arbitrary Containments"
"128","1478885728",74,"ItemBreakableness63","NULL",2,1899,"A stack of sandwiches broke.",63,"Breakableness","stack","Collections"
"129","1478885728",43,"ItemPronominalagreementplural32","NULL",7,1924,"We found a group of llamas and we photographed them.",32,"Pronominal agreement plural","group","Collections"
"130","1478885728",78,"ItemOverflowing67","NULL",2,2978,"We added so many silk handkerchiefs that the case of silk handkerchiefs overflowed.",67,"Overflowing","case","Full Containment"
"131","1478885728",93,"ItemAbstractNoun82","NULL",3,2445,"She expressed a heap of thoughts.",82,"Abstract Noun","heap","Collection"
"132","1478885728",117,"Filler116","NULL",1,3561,"They fined so many pedestrians that the city.",116,"Filler","Filler",NA
"133","1478890444",3,"Acclimatization-9","NULL",1,4564,"Many people is in the kitchen.",-9,"Acclimatization",NA,NA
"134","1478890444",4,"Acclimatization-8","NULL",6,9082,"We selected a variety of fruits and we bought them.",-8,"Acclimatization",NA,NA
"135","1478890444",5,"Acclimatization-7","NULL",2,4017,"We saw a flower and we noticed it.",-7,"Acclimatization",NA,NA
"136","1478890444",6,"Acclimatization-6","NULL",3,4380,"They found a box filled of toys in the closet.",-6,"Acclimatization",NA,NA
"137","1478890444",7,"Acclimatization-5","NULL",4,7526,"She met a wide troop of boyscouts at the airport.",-5,"Acclimatization",NA,NA
"138","1478890444",8,"Acclimatization-4","NULL",6,5556,"The mound of clothes cracked.",-4,"Acclimatization",NA,NA
"139","1478890444",9,"Acclimatization-3","NULL",6,10856,"I brought a crate stuffed with decisions to the party.",-3,"Acclimatization",NA,NA
"140","1478890444",10,"Acclimatization-2","NULL",2,3982,"A tub full with lobsters is on the patio.",-2,"Acclimatization",NA,NA
"141","1478890444",11,"Acclimatization-1","NULL",3,4619,"We added so many marbles that the bucket of marbles overflowed.",-1,"Acclimatization",NA,NA
"142","1478890444",21,"ItemPronominalagreementsingular10","NULL",3,5255,"We found a heap of blankets and we washed it.",10,"Pronominal agreement singular","pile","Collections"
"143","1478890444",102,"Filler101","NULL",2,3368,"He gave through on us.",101,"Filler","Filler",NA
"144","1478890444",20,"ItemPronominalagreementsingular9","NULL",2,2807,"We found a pile of shirts and we sorted it.",9,"Pronominal agreement singular","heap","Collections"
"145","1478890444",125,"Filler124","NULL",1,2869,"They planned to take the trash from.",124,"Filler","Filler",NA
"146","1478890444",54,"ItemConfigurationParticiples43","NULL",7,7110,"We walked by a case decorated with silk handkerchiefs.",43,"Configuration Participles","case","Arbitrary Containments"
"147","1478890444",15,"ItemPronominalagreementsingular4","NULL",5,4309,"We found a bucket with sponges and we grabbed it.",4,"Pronominal agreement singular","pail","Arbitary Containment"
"148","1478890444",122,"Filler121","NULL",1,3690,"We decided to see to a movie.",121,"Filler","Filler",NA
"149","1478890444",18,"ItemPronominalagreementsingular7","NULL",6,8159,"We found a case of silk handkerchiefs and we cleaned it.",7,"Pronominal agreement singular","case","Full Containment"
"150","1478890444",114,"Filler113","NULL",3,5069,"She voted the candidate.",113,"Filler","Filler",NA
"151","1478890444",80,"ItemOverflowing69","NULL",6,4608,"We added so many shirts that the pile of shirts overflowed.",69,"Overflowing","pile","Collections"
"152","1478890444",98,"ItemAbstractNoun87","NULL",7,4368,"She offered a handful of ideas.",87,"Abstract Noun","couple","Measure Phrase"
"153","1478890444",63,"ItemConfigurationAdjectives52","NULL",3,4333,"A child held a bucket full with sponges on the beach. ",52,"Configuration Adjectives","pail","Arbitrary Containments"
"154","1478890444",75,"ItemBreakableness64","NULL",5,4155,"A group of llamas broke.",64,"Breakableness","group","Collections"
"155","1478890444",28,"ItemPronominalagreementsingular17","NULL",1,3309,"We found several pies and we brought it.",17,"Pronominal agreement singular","none","Quantifiers"
"156","1478890444",89,"ItemShapeModifier78","NULL",3,5010,"She made a circular lot of blankets on the floor.",78,"Shape Modifier","number","Measure Phrases"
"157","1478890444",133,"Filler132","NULL",1,3858,"He looked like a fool when he responded the question.",132,"Filler","Filler",NA
"158","1478890444",40,"ItemPronominalagreementplural29","NULL",7,5106,"We found a pile of shirts and we took them.",29,"Pronominal agreement plural","heap","Collections"
"159","1478890444",126,"Filler125","NULL",1,3315,"After jumping over the log%2C he fell a mossy rock.",125,"Filler","Filler",NA
"160","1478890444",23,"ItemPronominalagreementsingular12","NULL",2,7340,"We found a group of llamas and we photographed it.",12,"Pronominal agreement singular","group","Collections"
"161","1478890444",123,"Filler122","NULL",1,2428,"He resolved to give smoking.",122,"Filler","Filler",NA
"162","1478890444",60,"ItemConfigurationAdjectives49","NULL",1,2138,"She offered a dish full with strawberries to her friend. ",49,"Configuration Adjectives","dish","Arbitrary Containments"
"163","1478890444",12,"ItemPronominalagreementsingular1","NULL",6,6586,"We found a dish with strawberries and we took it.",1,"Pronominal agreement singular","dish","Arbitary Containment"
"164","1478890444",32,"ItemPronominalagreementplural21","NULL",2,8925,"We found a dish with strawberries and we took them.",21,"Pronominal agreement plural","dish","Arbitary Containment"
"165","1478890444",119,"Filler118","NULL",2,4802,"A spoonful of tapioca the medicine.",118,"Filler","Filler",NA
"166","1478890444",26,"ItemPronominalagreementsingular15","NULL",1,4586,"We found a handful of notepads and we moved it.",15,"Pronominal agreement singular","couple","Measure Phrases"
"167","1478890444",127,"Filler126","NULL",1,3201,"While cooking dinner%2C we cried the onion.",126,"Filler","Filler",NA
"168","1478890444",78,"ItemOverflowing67","NULL",7,10558,"We added so many silk handkerchiefs that the case of silk handkerchiefs overflowed.",67,"Overflowing","case","Full Containment"
"169","1478890444",92,"ItemAbstractNoun81","NULL",5,5350,"She defined a pile of concepts.",81,"Abstract Noun","pile","Collection"
"170","1478890444",53,"ItemConfigurationParticiples42","NULL",7,6707,"I noticed a pot adorned with flowers in the store.",42,"Configuration Participles","pot","Arbitrary Containments"
"171","1478890444",70,"ItemBreakableness59","NULL",7,2555,"A case of silk handkerchiefs broke.",59,"Breakableness","case","Full Containment"
"172","1478890444",42,"ItemPronominalagreementplural31","NULL",7,3706,"We found a stack of sandwiches and we brought them.",31,"Pronominal agreement plural","stack","Collections"
"173","1478890444",84,"ItemShapeModifier73","NULL",7,4121,"She moved a tall pile of shirts into the garage.",73,"Shape Modifier","pile","Collection"
"174","1478890444",109,"Filler108","NULL",1,3223,"They rented bicycles nearly the sea.",108,"Filler","Filler",NA
"175","1478890444",27,"ItemPronominalagreementsingular16","NULL",1,2733,"We found a ton of cookbooks and we read it.",16,"Pronominal agreement singular","handful","Measure Phrases"
"176","1478890444",117,"Filler116","NULL",1,4761,"They fined so many pedestrians that the city.",116,"Filler","Filler",NA
"177","1478890444",64,"ItemConfigurationAdjectives53","NULL",7,3567,"She offered a dish full of strawberries to her friend. ",53,"Configuration Adjectives","dish","Full Containment"
"178","1478890444",24,"ItemPronominalagreementsingular13","NULL",1,3586,"We found a bunch of newspapers and we took it.",13,"Pronominal agreement singular","lot","Measure Phrases"
"179","1478890444",108,"Filler107","NULL",1,2607,"We drove past a tractor nearly the farm.",107,"Filler","Filler",NA
"180","1478890444",48,"ItemPronominalagreementplural37","NULL",7,2235,"We found several pies and we brought them.",37,"Pronominal agreement plural","none","Quantifiers"
"181","1478890444",113,"Filler112","NULL",1,2341,"He looked an article.",112,"Filler","Filler",NA
"182","1478890444",82,"ItemOverflowing71","NULL",6,5199,"We added so many sandwiches that the stack of sandwiches overflowed.",71,"Overflowing","stack","Collections"
"183","1478890444",99,"ItemAbstractNoun88","NULL",7,2970,"She made a ton of suggestions. ",88,"Abstract Noun","handful","Measure Phrase"
"184","1478890444",59,"ItemConfigurationParticiples48","NULL",1,6758,"A child held a bucket filled of sponges on the beach. ",48,"Configuration Participles","pail","Full Containment"
"185","1478890444",73,"ItemBreakableness62","NULL",4,7690,"A heap of blankets broke.",62,"Breakableness","heap","Collections"
"186","1478890444",34,"ItemPronominalagreementplural23","NULL",4,9009,"We found a case with silk handkerchiefs and we cleaned them.",23,"Pronominal agreement plural","case","Arbitary Containment"
"187","1478890444",90,"ItemShapeModifier79","NULL",2,4387,"She placed a short handful of sandwiches on the table.",79,"Shape Modifier","couple","Measure Phrases"
"188","1478890444",112,"Filler111","NULL",5,3808,"We insisted a toast.",111,"Filler","Filler",NA
"189","1478890444",29,"ItemPronominalagreementsingular18","NULL",1,3119,"We found many clocks and we watched it.",18,"Pronominal agreement singular","none","Quantifiers"
"190","1478890444",13,"ItemPronominalagreementsingular2","NULL",7,4653,"We found a pot with flowers and we admired it.",2,"Pronominal agreement singular","pot","Arbitary Containment"
"191","1478890444",115,"Filler114","NULL",3,3146,"They stumbled a gold mine.",114,"Filler","Filler",NA
"192","1478890444",56,"ItemConfigurationParticiples45","NULL",2,3953,"She offered a dish sprinkled of strawberries to her friend. ",45,"Configuration Participles","dish","Full Containment"
"193","1478890444",39,"ItemPronominalagreementplural28","NULL",2,4274,"We found a bucket of sponges and we grabbed them.",28,"Pronominal agreement plural","pail","Full Containment"
"194","1478890444",124,"Filler123","NULL",1,7480,"She chose to buy among a new toaster.",123,"Filler","Filler",NA
"195","1478890444",30,"ItemPronominalagreementsingular19","NULL",1,3158,"We found more chips and we brought it.",19,"Pronominal agreement singular","none","Quantifiers"
"196","1478890444",107,"Filler106","NULL",1,1387,"They received a package from.",106,"Filler","Filler",NA
"197","1478890444",83,"ItemOverflowing72","NULL",5,3887,"We added so many llamas that the group of llamas overflowed.",72,"Overflowing","group","Collections"
"198","1478890444",97,"ItemAbstractNoun86","NULL",7,1948,"She expressed a lot of thoughts.",86,"Abstract Noun","number","Measure Phrase"
"199","1478890444",62,"ItemConfigurationAdjectives51","NULL",1,2896,"We walked by a case full with silk handkerchiefs.",51,"Configuration Adjectives","case","Arbitrary Containments"
"200","1478890444",71,"ItemBreakableness60","NULL",5,4695,"A bucket of sponges broke.",60,"Breakableness","pail","Full Containment"
"201","1478890444",44,"ItemPronominalagreementplural33","NULL",7,2734,"We found a bunch of newspapers and we took them.",33,"Pronominal agreement plural","lot","Measure Phrases"
"202","1478890444",91,"ItemShapeModifier80","NULL",4,3933,"She found a wide ton of llamas in the valley.",80,"Shape Modifier","handful","Measure Phrases"
"203","1478890444",111,"Filler110","NULL",1,2447,"He played a slowly song.",110,"Filler","Filler",NA
"204","1478890444",41,"ItemPronominalagreementplural30","NULL",7,3667,"We found a heap of blankets and we washed them.",30,"Pronominal agreement plural","pile","Collections"
"205","1478890444",106,"Filler105","NULL",1,1830,"We sent a package to.",105,"Filler","Filler",NA
"206","1478890444",46,"ItemPronominalagreementplural35","NULL",7,3826,"We found a handful of notepads and we took them.",35,"Pronominal agreement plural","couple","Measure Phrases"
